epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,25304.5,1.07153,1.99806,1.04247,0.01345,0.84986,0.88139,0.84545,0.90147,0.62642,0.79288,0.73247,0.7461,0.43231,1.13438,2.62083,0.71274,0.0237,0,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,25652.1,1.06169,1.98602,1.02782,0.01342,0.85241,0.87823,0.85144,0.902,0.62773,0.77908,0.7432,0.7474,0.4336,1.1335,2.62243,0.70687,0.02367,0,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,25999.3,1.06037,1.96955,1.01186,0.01329,0.82517,0.88003,0.84992,0.90231,0.62872,0.77821,0.74778,0.74838,0.4341,1.1322,2.62251,0.70338,0.02366,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,26345.3,1.06084,1.96579,1.01872,0.01337,0.82182,0.88394,0.85121,0.90303,0.63013,0.7866,0.74619,0.7509,0.43624,1.13084,2.62447,0.7006,0.0236,0,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,26690.4,1.06076,1.97773,1.01933,0.01329,0.84246,0.89443,0.8452,0.90397,0.63077,0.79188,0.74482,0.75271,0.43661,1.12966,2.62104,0.69669,0.02357,0,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,27036.9,1.04821,1.94719,0.9917,0.0131,0.8218,0.88516,0.85275,0.90426,0.63103,0.78319,0.7542,0.75242,0.43752,1.1291,2.62393,0.69275,0.02354,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,27382.9,1.04708,1.94272,0.9939,0.01302,0.81496,0.8892,0.85331,0.90567,0.63252,0.78541,0.75475,0.75302,0.43721,1.12946,2.62766,0.6857,0.02354,0,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,27730.3,1.03891,1.9265,0.97833,0.01304,0.79362,0.891,0.85586,0.90678,0.63402,0.78877,0.75847,0.75395,0.4381,1.12667,2.62734,0.68461,0.02347,0,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,28078.9,1.04292,1.92653,0.98204,0.01301,0.80429,0.89011,0.85657,0.907,0.63499,0.78967,0.75963,0.75528,0.43906,1.12512,2.6367,0.6823,0.02346,0,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,28427.8,1.02672,1.90812,0.96441,0.0128,0.78229,0.89666,0.85282,0.90828,0.63662,0.78809,0.76199,0.75624,0.43989,1.12425,2.63161,0.67621,0.02344,0,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,28780.9,1.02391,1.89512,0.95825,0.01286,0.76906,0.89444,0.85765,0.90856,0.63701,0.79235,0.76155,0.75676,0.44006,1.12252,2.63805,0.67291,0.0234,0,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,29132.9,1.01856,1.88657,0.94137,0.01266,0.76616,0.89049,0.86395,0.90968,0.63778,0.78979,0.76555,0.75763,0.44041,1.12083,2.63827,0.67148,0.02338,0,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,29489.3,1.0091,1.87426,0.93967,0.01247,0.76156,0.89136,0.8603,0.90958,0.63838,0.79197,0.76285,0.75933,0.44158,1.11859,2.63953,0.67081,0.02333,0,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
